,UNC_YEAR,HSCD,COUNTRYCD,COUNTRYNM,TRADE_COUNTRYCD,TRADE_HSCD,TARIFF_AVG,SNDIST,NY_GDP_MKTP_CD,NY_GDP_MKTP_CD_1Y,SP_POP_TOTL,PA_NUS_FCRF,IC_BUS_EASE_DFRN_DB,KMDIST,TRADE_HSCD_COUNTRYCD,KR_TRADE_HSCD_COUNTRYCD
0,2017,190590,12,Algeria,46052990973.0,19480986257.0,30.0,3878.238437,170163000000.0,159995000000.0,41389198,110.9730167,46.10981,9954.009766,3416326.0,7657
1,2017,190590,36,Australia,228442000000.0,19480986257.0,0.0,12203.15598,1329190000000.0,1208850000000.0,24601860,1.304758077,80.22369,8329.652344,438747025.0,5294788
4,2017,190590,76,Brazil,150749000000.0,19480986257.0,18.0,9644.206941,2062830000000.0,1795700000000.0,207833831,3.191389446,55.38240333,18364.50586,31329648.0,122850
5,2017,190590,104,Myanmar,19253441935.0,19480986257.0,5.0,5891.659995,68945867478.0,67184236747.0,53382581,1360.358707,42.67139,3796.142578,12761824.0,631082
6,2017,190590,124,Canada,432405000000.0,19480986257.0,0.0,7911.783801,1649880000000.0,1528240000000.0,36543321,1.297935846,79.54094,10617.70313,1113991318.0,7273171
7,2017,190590,144,Sri Lanka,21316172076.0,19480986257.0,30.0,6176.30332,87428125558.0,82401038710.0,21444000,152.4464139,59.82373,5840.512695,841757.0,44837
8,2017,190590,152,Chile,65257236198.0,19480986257.0,0.0,9550.300571,277045000000.0,250440000000.0,18470439,648.8337926,71.58185,18375.18164,42723409.0,63715
9,2017,190590,156,China,1843790000000.0,19480986257.0,8.6,6363.348377,12310400000000.0,11233300000000.0,1386395000,6.758755086,64.63936,955.651062,306765145.0,8011591
10,2017,190590,203,Czechia,162899000000.0,19480986257.0,0.0,3462.111609,218629000000.0,196272000000.0,10594438,23.37633333,76.38834,8262.0625,244402030.0,113546
13,2017,190590,320,Guatemala,18377914375.0,19480986257.0,15.0,6516.179027,71612352645.0,66053725049.0,16087418,7.34793875,61.95631,13029.69238,60291192.0,127538
14,2017,190590,344,"China, Hong Kong SAR",589317000000.0,19480986257.0,0.0,7404.406891,341244000000.0,320838000000.0,7391700,7.79325,84.76059,2095.842529,287553268.0,11043420
15,2017,190590,360,Indonesia,156925000000.0,19480986257.0,0.0,8139.543778,1015620000000.0,931877000000.0,264645886,13380.83388,64.52893333,5291.683594,43441822.0,950567
16,2017,190590,364,Iran,51612276867.0,19480986257.0,30.0,4021.444727,445345000000.0,417984000000.0,80673951,33226.29815,55.70786,6562.448242,178858.0,7441
18,2017,190590,392,Japan,671474000000.0,19480986257.0,17.8,7636.854213,4866860000000.0,4922540000000.0,126785797,112.1661411,78.02069667,1156.669556,359935524.0,9701684
19,2017,190590,398,Kazakhstan,29345907738.0,19480986257.0,10.9,4293.407008,166806000000.0,137278000000.0,18037776,326.0010227,74.84879,4227.771973,59227590.0,47896
21,2017,190590,458,Malaysia,194720000000.0,19480986257.0,0.0,6798.215338,319112000000.0,301255000000.0,31105028,4.300440878,78.27291,4614.067383,42470419.0,3085301
22,2017,190590,484,Mexico,420369000000.0,19480986257.0,10.0,8410.729379,1158910000000.0,1078490000000.0,124777324,18.92651667,73.39408333,12066.00781,142611655.0,87723
23,2017,190590,496,Mongolia,4337305039.0,19480986257.0,5.0,5363.696559,11425755280.0,11186734674.0,3113779,2439.777201,66.1351,2003.103271,8082522.0,636777
25,2017,190590,554,New Zealand,40128397719.0,19480986257.0,0.0,13546.89001,205416000000.0,188224000000.0,4793900,1.407408333,87.16633,10293.83691,111131457.0,1879845
26,2017,190590,579,Norway,85525812090.0,19480986257.0,2.6,4470.207732,398394000000.0,368820000000.0,5276968,8.271666667,82.35614,7730.766602,271153119.0,15877
27,2017,190590,604,Peru,39763884637.0,19480986257.0,0.0,9853.501457,211007000000.0,191896000000.0,31444297,3.260488491,67.5175,16329.76465,17417666.0,233948
28,2017,190590,608,Philippines,101889000000.0,19480986257.0,0.0,7809.327224,328481000000.0,318627000000.0,105173264,50.40371979,59.25872,2615.750732,29338284.0,3793933
29,2017,190590,616,Poland,217979000000.0,19480986257.0,0.0,3480.012872,526509000000.0,472630000000.0,37974826,3.779333333,77.68044,7753.967285,199568752.0,52868
30,2017,190590,643,Russian Federation,228213000000.0,19480986257.0,10.9,3309.089692,1574200000000.0,1276790000000.0,144496740,58.34280119,75.21312667,6614.064453,209530080.0,5610937
31,2017,190590,682,Saudi Arabia,134519000000.0,19480986257.0,5.0,5075.358346,688586000000.0,644936000000.0,33099147,3.75,59.44422,7557.271973,218442939.0,6329950
32,2017,190590,699,India,444052000000.0,19480986257.0,5.0,5464.75297,2652750000000.0,2294800000000.0,1338658835,65.12156865,55.90158667,4692.671875,9615105.0,75487
33,2017,190590,702,Singapore,327710000000.0,19480986257.0,0.0,8110.872924,341863000000.0,318652000000.0,5612253,1.380925,85.44138,4676.682617,178485282.0,2417045
34,2017,190590,704,Viet Nam,213215000000.0,19480986257.0,0.0,6450.914231,223780000000.0,205276000000.0,94596642,22370.08667,65.28861,2740.135254,28470990.0,8668150
35,2017,190590,710,South Africa,83030698712.0,19480986257.0,15.2,8109.603897,349554000000.0,296357000000.0,57000451,13.32380142,65.40686,13723.41309,41929496.0,229391
37,2017,190590,757,Switzerland,267501000000.0,19480986257.0,11.5,4511.371039,679950000000.0,671309000000.0,8451840,0.984691667,76.42092,8878.165039,354619786.0,168899
38,2017,190590,784,United Arab Emirates,270955000000.0,19480986257.0,5.0,5116.29174,385606000000.0,357045000000.0,9487203,3.6725,77.43435,6909.236328,288848710.0,3517956
39,2017,190590,792,Turkey,233800000000.0,19480986257.0,1.7,3363.98182,858989000000.0,869683000000.0,81101892,3.648132635,69.37882,7967.700684,36781680.0,43074
40,2017,190590,818,Egypt,66338749061.0,19480986257.0,23.0,4102.091983,235734000000.0,332442000000.0,96442593,17.78253352,55.47428,8497.368164,1344146.0,1750
41,2017,190590,826,United Kingdom,641332000000.0,19480986257.0,0.0,4791.770544,2666230000000.0,2694280000000.0,66058859,0.776976682,83.34108,8875.389648,1728298242.0,1035987
42,2017,190590,842,USA,2405280000000.0,19480986257.0,0.0,7611.29521,19519400000000.0,18715000000000.0,324985539,1.0,83.35255333,11065.70215,3200642488.0,55838057
43,2017,190230,12,Algeria,46052990973.0,2769581143.0,30.0,4684.046997,170163000000.0,159995000000.0,41389198,110.9730167,46.10981,9954.009766,752181.0,195531
44,2017,190230,36,Australia,228442000000.0,2769581143.0,0.0,10745.54894,1329190000000.0,1208850000000.0,24601860,1.304758077,80.22369,8329.652344,123706434.0,19436993
47,2017,190230,76,Brazil,150749000000.0,2769581143.0,16.0,12048.56672,2062830000000.0,1795700000000.0,207833831,3.191389446,55.38240333,18364.50586,3009953.0,57604
48,2017,190230,104,Myanmar,19253441935.0,2769581143.0,15.0,3624.322955,68945867478.0,67184236747.0,53382581,1360.358707,42.67139,3796.142578,5793521.0,1061341
49,2017,190230,124,Canada,432405000000.0,2769581143.0,0.0,8584.756395,1649880000000.0,1528240000000.0,36543321,1.297935846,79.54094,10617.70313,148407780.0,6936579
50,2017,190230,144,Sri Lanka,21316172076.0,2769581143.0,30.0,6092.153792,87428125558.0,82401038710.0,21444000,152.4464139,59.82373,5840.512695,489857.0,11140
51,2017,190230,152,Chile,65257236198.0,2769581143.0,0.0,9667.370093,277045000000.0,250440000000.0,18470439,648.8337926,71.58185,18375.18164,3694180.0,4894
52,2017,190230,156,China,1843790000000.0,2769581143.0,8.8,5885.239606,12310400000000.0,11233300000000.0,1386395000,6.758755086,64.63936,955.651062,201610603.0,100031034
53,2017,190230,203,Czechia,162899000000.0,2769581143.0,0.0,3368.254037,218629000000.0,196272000000.0,10594438,23.37633333,76.38834,8262.0625,19940450.0,1044032
56,2017,190230,320,Guatemala,18377914375.0,2769581143.0,15.0,7774.658839,71612352645.0,66053725049.0,16087418,7.34793875,61.95631,13029.69238,1049293.0,528475
57,2017,190230,344,"China, Hong Kong SAR",589317000000.0,2769581143.0,0.0,5466.844288,341244000000.0,320838000000.0,7391700,7.79325,84.76059,2095.842529,172893976.0,19598376
58,2017,190230,360,Indonesia,156925000000.0,2769581143.0,15.0,5780.809312,1015620000000.0,931877000000.0,264645886,13380.83388,64.52893333,5291.683594,26916413.0,17799673
60,2017,190230,392,Japan,671474000000.0,2769581143.0,22.1,5500.42199,4866860000000.0,4922540000000.0,126785797,112.1661411,78.02069667,1156.669556,29667683.0,28195423
61,2017,190230,398,Kazakhstan,29345907738.0,2769581143.0,13.0,3692.514058,166806000000.0,137278000000.0,18037776,326.0010227,74.84879,4227.771973,31845812.0,861289
63,2017,190230,458,Malaysia,194720000000.0,2769581143.0,0.0,5723.906424,319112000000.0,301255000000.0,31105028,4.300440878,78.27291,4614.067383,112898464.0,20331358
64,2017,190230,484,Mexico,420369000000.0,2769581143.0,10.0,10413.24411,1158910000000.0,1078490000000.0,124777324,18.92651667,73.39408333,12066.00781,2553845.0,14341
65,2017,190230,496,Mongolia,4337305039.0,2769581143.0,5.0,4532.951087,11425755280.0,11186734674.0,3113779,2439.777201,66.1351,2003.103271,14388857.0,3481201
67,2017,190230,554,New Zealand,40128397719.0,2769581143.0,0.0,11524.01998,205416000000.0,188224000000.0,4793900,1.407408333,87.16633,10293.83691,39809370.0,6061135
68,2017,190230,579,Norway,85525812090.0,2769581143.0,0.0,4180.118146,398394000000.0,368820000000.0,5276968,8.271666667,82.35614,7730.766602,17211229.0,712222
69,2017,190230,604,Peru,39763884637.0,2769581143.0,0.0,12177.77383,211007000000.0,191896000000.0,31444297,3.260488491,67.5175,16329.76465,523462.0,39291
70,2017,190230,608,Philippines,101889000000.0,2769581143.0,0.0,7116.886667,328481000000.0,318627000000.0,105173264,50.40371979,59.25872,2615.750732,25785360.0,3341824
71,2017,190230,616,Poland,217979000000.0,2769581143.0,0.0,3196.819127,526509000000.0,472630000000.0,37974826,3.779333333,77.68044,7753.967285,25540440.0,1470426
72,2017,190230,643,Russian Federation,228213000000.0,2769581143.0,13.0,3365.842814,1574200000000.0,1276790000000.0,144496740,58.34280119,75.21312667,6614.064453,14793484.0,3921041
73,2017,190230,682,Saudi Arabia,134519000000.0,2769581143.0,5.0,6608.332879,688586000000.0,644936000000.0,33099147,3.75,59.44422,7557.271973,13887318.0,2469813
74,2017,190230,699,India,444052000000.0,2769581143.0,5.0,5916.463596,2652750000000.0,2294800000000.0,1338658835,65.12156865,55.90158667,4692.671875,8720954.0,246133
75,2017,190230,702,Singapore,327710000000.0,2769581143.0,0.0,6635.336461,341863000000.0,318652000000.0,5612253,1.380925,85.44138,4676.682617,42232511.0,7713945
76,2017,190230,704,Viet Nam,213215000000.0,2769581143.0,0.0,5575.774048,223780000000.0,205276000000.0,94596642,22370.08667,65.28861,2740.135254,21094573.0,16134242
77,2017,190230,710,South Africa,83030698712.0,2769581143.0,20.0,8035.435711,349554000000.0,296357000000.0,57000451,13.32380142,65.40686,13723.41309,13627366.0,149159
79,2017,190230,757,Switzerland,267501000000.0,2769581143.0,6.8,4357.480028,679950000000.0,671309000000.0,8451840,0.984691667,76.42092,8878.165039,29231113.0,1141186
80,2017,190230,784,United Arab Emirates,270955000000.0,2769581143.0,5.0,5390.98929,385606000000.0,357045000000.0,9487203,3.6725,77.43435,6909.236328,14413477.0,698361
81,2017,190230,792,Turkey,233800000000.0,2769581143.0,2.6,3179.316262,858989000000.0,869683000000.0,81101892,3.648132635,69.37882,7967.700684,2289874.0,13895
83,2017,190230,826,United Kingdom,641332000000.0,2769581143.0,0.0,4980.251458,2666230000000.0,2694280000000.0,66058859,0.776976682,83.34108,8875.389648,215845149.0,14463554
84,2017,190230,842,USA,2405280000000.0,2769581143.0,0.0,8223.865926,19519400000000.0,18715000000000.0,324985539,1.0,83.35255333,11065.70215,238075123.0,72210466
85,2017,190219,12,Algeria,46052990973.0,3462108810.0,30.0,3610.490997,170163000000.0,159995000000.0,41389198,110.9730167,46.10981,9954.009766,2509004.0,2899
86,2017,190219,36,Australia,228442000000.0,3462108810.0,0.0,10533.74885,1329190000000.0,1208850000000.0,24601860,1.304758077,80.22369,8329.652344,71516400.0,4575401
89,2017,190219,76,Brazil,150749000000.0,3462108810.0,16.0,9606.510127,2062830000000.0,1795700000000.0,207833831,3.191389446,55.38240333,18364.50586,27487409.0,273682
90,2017,190219,104,Myanmar,19253441935.0,3462108810.0,15.0,4136.03394,68945867478.0,67184236747.0,53382581,1360.358707,42.67139,3796.142578,1643430.0,477335
91,2017,190219,124,Canada,432405000000.0,3462108810.0,0.0,8244.859405,1649880000000.0,1528240000000.0,36543321,1.297935846,79.54094,10617.70313,145522773.0,4319074
93,2017,190219,152,Chile,65257236198.0,3462108810.0,0.0,10296.54322,277045000000.0,250440000000.0,18470439,648.8337926,71.58185,18375.18164,33062368.0,46562
94,2017,190219,156,China,1843790000000.0,3462108810.0,10.0,6401.277669,12310400000000.0,11233300000000.0,1386395000,6.758755086,64.63936,955.651062,28755343.0,1875680
95,2017,190219,203,Czechia,162899000000.0,3462108810.0,0.0,3292.887012,218629000000.0,196272000000.0,10594438,23.37633333,76.38834,8262.0625,28194541.0,117207
98,2017,190219,320,Guatemala,18377914375.0,3462108810.0,15.0,5347.544057,71612352645.0,66053725049.0,16087418,7.34793875,61.95631,13029.69238,10620711.0,20068
99,2017,190219,344,"China, Hong Kong SAR",589317000000.0,3462108810.0,0.0,6521.457074,341244000000.0,320838000000.0,7391700,7.79325,84.76059,2095.842529,84199171.0,3183804
100,2017,190219,360,Indonesia,156925000000.0,3462108810.0,0.0,6596.109717,1015620000000.0,931877000000.0,264645886,13380.83388,64.52893333,5291.683594,5908179.0,320189
101,2017,190219,364,Iran,51612276867.0,3462108810.0,55.0,4935.700634,445345000000.0,417984000000.0,80673951,33226.29815,55.70786,6562.448242,816016.0,3738
103,2017,190219,392,Japan,671474000000.0,3462108810.0,16.3,7397.723246,4866860000000.0,4922540000000.0,126785797,112.1661411,78.02069667,1156.669556,249391943.0,9998596
104,2017,190219,398,Kazakhstan,29345907738.0,3462108810.0,15.0,4928.299805,166806000000.0,137278000000.0,18037776,326.0010227,74.84879,4227.771973,4318866.0,43476
106,2017,190219,458,Malaysia,194720000000.0,3462108810.0,0.0,5674.078706,319112000000.0,301255000000.0,31105028,4.300440878,78.27291,4614.067383,23474519.0,1239622
107,2017,190219,484,Mexico,420369000000.0,3462108810.0,10.0,8850.299831,1158910000000.0,1078490000000.0,124777324,18.92651667,73.39408333,12066.00781,19223682.0,73853
108,2017,190219,496,Mongolia,4337305039.0,3462108810.0,5.0,4800.679941,11425755280.0,11186734674.0,3113779,2439.777201,66.1351,2003.103271,2607058.0,41065
110,2017,190219,554,New Zealand,40128397719.0,3462108810.0,0.0,12433.00957,205416000000.0,188224000000.0,4793900,1.407408333,87.16633,10293.83691,12516244.0,182569
111,2017,190219,579,Norway,85525812090.0,3462108810.0,6.4,4342.84122,398394000000.0,368820000000.0,5276968,8.271666667,82.35614,7730.766602,21477580.0,3096
112,2017,190219,604,Peru,39763884637.0,3462108810.0,0.0,9027.108782,211007000000.0,191896000000.0,31444297,3.260488491,67.5175,16329.76465,1344063.0,28777
113,2017,190219,608,Philippines,101889000000.0,3462108810.0,5.0,5913.198155,328481000000.0,318627000000.0,105173264,50.40371979,59.25872,2615.750732,11929399.0,622539
114,2017,190219,616,Poland,217979000000.0,3462108810.0,0.0,3467.230294,526509000000.0,472630000000.0,37974826,3.779333333,77.68044,7753.967285,48830363.0,135963
115,2017,190219,643,Russian Federation,228213000000.0,3462108810.0,15.0,2761.420635,1574200000000.0,1276790000000.0,144496740,58.34280119,75.21312667,6614.064453,44133033.0,240507
116,2017,190219,682,Saudi Arabia,134519000000.0,3462108810.0,5.0,5086.497882,688586000000.0,644936000000.0,33099147,3.75,59.44422,7557.271973,49152312.0,185507
117,2017,190219,699,India,444052000000.0,3462108810.0,5.0,4905.323352,2652750000000.0,2294800000000.0,1338658835,65.12156865,55.90158667,4692.671875,3567847.0,9808
118,2017,190219,702,Singapore,327710000000.0,3462108810.0,0.0,7704.230099,341863000000.0,318652000000.0,5612253,1.380925,85.44138,4676.682617,33213247.0,1845558
119,2017,190219,704,Viet Nam,213215000000.0,3462108810.0,0.0,5111.55403,223780000000.0,205276000000.0,94596642,22370.08667,65.28861,2740.135254,5489971.0,1015316
120,2017,190219,710,South Africa,83030698712.0,3462108810.0,40.0,7785.169113,349554000000.0,296357000000.0,57000451,13.32380142,65.40686,13723.41309,26047589.0,1045
122,2017,190219,757,Switzerland,267501000000.0,3462108810.0,5.6,5285.639497,679950000000.0,671309000000.0,8451840,0.984691667,76.42092,8878.165039,49907896.0,57772
123,2017,190219,784,United Arab Emirates,270955000000.0,3462108810.0,5.0,4988.371364,385606000000.0,357045000000.0,9487203,3.6725,77.43435,6909.236328,51788418.0,1637259
124,2017,190219,792,Turkey,233800000000.0,3462108810.0,7.1,4489.653361,858989000000.0,869683000000.0,81101892,3.648132635,69.37882,7967.700684,3968501.0,28318
126,2017,190219,826,United Kingdom,641332000000.0,3462108810.0,0.0,4210.742018,2666230000000.0,2694280000000.0,66058859,0.776976682,83.34108,8875.389648,114324488.0,347802
127,2017,190219,842,USA,2405280000000.0,3462108810.0,0.0,7961.707686,19519400000000.0,18715000000000.0,324985539,1.0,83.35255333,11065.70215,572029790.0,21225079
128,2017,591190,12,Algeria,46052990973.0,2469927278.0,15.0,3454.132776,170163000000.0,159995000000.0,41389198,110.9730167,46.10981,9954.009766,6142962.0,2588
129,2017,591190,36,Australia,228442000000.0,2469927278.0,0.0,11965.49699,1329190000000.0,1208850000000.0,24601860,1.304758077,80.22369,8329.652344,35631091.0,367827
